zone, mesure, 00-27-E3-07-B3-51, 00-27-E3-07-B3-52, 00-27-E3-07-B3-53, 00-27-E3-07-B3-54, 00-27-E3-07-B3-55, 00-27-E3-07-B3-56, 00-27-E3-07-B3-57, 00-27-E3-07-B3-58, 00-27-E3-07-B3-59, 00-27-E3-07-B3-5A, 00-27-E3-07-B3-5B, 00-27-E3-07-B3-5C, 00-27-E3-07-B3-5D, 00-27-E3-07-B3-5E, 00-27-E3-27-84-A1, 00-27-E3-27-84-A3, 00-27-E3-27-84-A4, 00-27-E3-27-84-A5, 00-27-E3-27-84-AC, 00-A3-8E-C5-76-C2, 00-A3-8E-C5-76-C3, 00-A3-8E-C5-76-C6, 00-A3-8E-C7-A4-F1, 00-A3-8E-C7-A4-F2, 00-A3-8E-C7-A4-F3, 00-A3-8E-C7-A4-F4, 00-A3-8E-C7-A4-F5, 00-A3-8E-C7-A4-F6, 00-A3-8E-C7-A4-F7, 00-A3-8E-C7-A4-F8, 00-A3-8E-C7-A4-F9, 00-A3-8E-C7-A4-FA, 00-A3-8E-C7-A4-FB, 00-A3-8E-C7-A4-FC, 00-A3-8E-C7-A4-FD, 00-A3-8E-C7-A4-FE, 00-A3-8E-E2-3C-11, 00-A3-8E-E2-3C-12, 00-A3-8E-E2-3C-13, 00-A3-8E-E2-3C-14, 00-A3-8E-E2-3C-15, 00-A3-8E-E2-3C-16, 00-A3-8E-E2-3C-17, 00-A3-8E-E2-3C-18, 00-A3-8E-E2-3C-19, 00-A3-8E-E2-3C-1A, 00-A3-8E-E2-3C-1B, 00-A3-8E-E2-3C-1C, 00-A3-8E-E2-3C-1D, 00-A3-8E-E2-3C-1E, 0E-06-0B-88-40-8F, 24-2E-02-9E-B7-97, 26-96-95-AA-13-39, 5C-5A-C7-29-C5-44, 5C-5A-C7-29-C5-46, 5C-5A-C7-29-C5-47, 5C-5A-C7-29-C8-C2, 5C-5A-C7-29-C8-C3, 5C-5A-C7-29-C8-C4, 5C-5A-C7-29-C8-C5, 5C-5A-C7-29-C8-CC, 5C-5A-C7-5D-E2-A1, 5C-5A-C7-5D-E2-A3, 70-DB-98-EE-25-31, 70-DB-98-EE-25-32, 70-DB-98-EE-25-33, 70-DB-98-EE-25-34, 70-DB-98-EE-25-35, 70-DB-98-EE-25-3C, 70-DB-98-EE-38-B1, 70-DB-98-EE-38-B2, 70-DB-98-EE-38-B3, 70-DB-98-EE-38-B4, 70-DB-98-EE-38-B5, 70-DB-98-EE-38-B6, 70-DB-98-EE-38-B7, 70-DB-98-EE-38-B8, 70-DB-98-EE-38-B9, 70-DB-98-EE-38-BA, 70-DB-98-EE-38-BB, 70-DB-98-EE-38-BC, 70-DB-98-EE-38-BD, 70-DB-98-EE-38-BE, 82-50-82-C6-27-F0, 82-CF-65-15-FB-B8, 9A-D9-86-6E-F0-B4, D6-E6-B7-70-E0-FF, E2-90-5F-A4-41-08, E4-AA-5D-3E-C4-41, E4-AA-5D-3E-C4-42, E4-AA-5D-3E-C4-43, E4-AA-5D-3E-C4-44, E4-AA-5D-3E-C4-45, E4-AA-5D-3E-C4-46, E4-AA-5D-3E-C4-47, E4-AA-5D-3E-C4-4A, E4-AA-5D-3E-C4-4B, E4-AA-5D-3E-C4-4C, E4-AA-5D-3E-C4-4E, E4-AA-EA-74-C2-C3, F8-6B-D9-65-EB-44
   4,     41,               -57,               -61,               -58,               -57,               -57,               -57,               -55,               -53,               -54,               -53,               -52,               -56,               -61,               -52,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               NaN,               -81,               -69,               -70,               -67,               -69,               -66,               -67,               -66,               -70,               -69,               -71,               -70,               -67,               -69,               -69,               -77,               -75,               -67,               -74,               -76,               -76,               -76,               -67,               -67,               -69,               -68,               -75,               -68,               -67,               -80,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -88,               -77,               -85,               -86,               -86,               -88,               -87,               -82,               -84,               -82,               -82,               -81,               -87,               -83,               -86,               NaN,               -87,               -88,               -82,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   4,     42,               -59,               -61,               -59,               -58,               -59,               -57,               -55,               -55,               -54,               -55,               -54,               -59,               -61,               -55,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               NaN,               -81,               -72,               -70,               -73,               -70,               -72,               -73,               -69,               -68,               -67,               -71,               -69,               -70,               -68,               -67,               -70,               -71,               -71,               -73,               -71,               -71,               -76,               -74,               -75,               -74,               -76,               -70,               -75,               -74,               -80,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -88,               -77,               -85,               -86,               -86,               -88,               -87,               -86,               -88,               -86,               -82,               -81,               -87,               -88,               -86,               NaN,               -87,               -88,               -82,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -88,               NaN,               NaN,               NaN,               NaN
   4,     43,               -65,               -65,               -67,               -62,               -66,               -57,               -55,               -54,               -54,               -54,               -53,               -65,               -61,               -53,               -83,               NaN,               NaN,               -84,               -85,               -82,               NaN,               -81,               -65,               -70,               -68,               -64,               -65,               -73,               -68,               -72,               -67,               -75,               -73,               -65,               -71,               -72,               -70,               -71,               -73,               -73,               -74,               -70,               -73,               -75,               -75,               -75,               -78,               -71,               -76,               -74,               -80,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -85,               -76,               -79,               -77,               -83,               -88,               -81,               -86,               -88,               -86,               -82,               -81,               -87,               -88,               -86,               NaN,               -87,               -88,               -82,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -88,               NaN,               NaN,               NaN,               NaN
   4,     44,               -58,               -65,               -58,               -58,               -58,               -57,               -58,               -54,               -56,               -56,               -57,               -58,               -56,               -56,               -83,               NaN,               NaN,               -84,               -85,               -82,               NaN,               -81,               -71,               -74,               -71,               -70,               -71,               -73,               -68,               -68,               -70,               -66,               -69,               -71,               -70,               -69,               -78,               -76,               -80,               -78,               -77,               -70,               -79,               -75,               -74,               -76,               -74,               -80,               -73,               -74,               -80,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -85,               -76,               -79,               -77,               -83,               -88,               -81,               -86,               -84,               -84,               -89,               -87,               -87,               -88,               -86,               NaN,               -87,               -88,               -82,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -88,               NaN,               NaN,               NaN,               NaN
   4,     45,               -53,               -54,               -52,               -53,               -54,               -54,               -54,               -54,               -56,               -48,               -46,               -53,               -46,               -48,               -82,               -82,               -82,               -80,               -82,               -82,               NaN,               -81,               -73,               -74,               -73,               -74,               -73,               -73,               -68,               -69,               -69,               -71,               -68,               -72,               -69,               -69,               -78,               -76,               -80,               -78,               -77,               -70,               -79,               -74,               -71,               -76,               -73,               -80,               -72,               -71,               -80,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -79,               -80,               -78,               -80,               -76,               -79,               -78,               -86,               -83,               -84,               -83,               -84,               -87,               -88,               -86,               NaN,               -87,               -88,               -82,               -79,               NaN,               -80,               -80,               -80,               NaN,               -80,               NaN,               -88,               -77,               NaN,               NaN,               NaN
   4,     46,               -54,               -54,               -52,               -56,               -53,               -54,               -53,               -54,               -49,               -50,               -49,               -55,               -49,               -49,               -82,               -82,               -82,               -80,               -82,               -82,               NaN,               -81,               -66,               -69,               -69,               -69,               -70,               -71,               -68,               -69,               -69,               -71,               -68,               -68,               -69,               -70,               -66,               -76,               -67,               -68,               -67,               -66,               -66,               -74,               -71,               -74,               -73,               -67,               -72,               -71,               -88,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -84,               -80,               -79,               -80,               -77,               -84,               -81,               -86,               -83,               -84,               -83,               -84,               -87,               -88,               -86,               NaN,               -87,               -88,               -82,               -79,               NaN,               -80,               -81,               -81,               NaN,               -80,               NaN,               -88,               -81,               NaN,               NaN,               NaN
   4,     47,               -44,               -43,               -44,               -42,               -43,               -44,               -44,               -54,               -49,               -53,               -51,               -44,               -49,               -52,               -82,               -82,               -82,               -80,               -82,               -82,               NaN,               -81,               -70,               -69,               -68,               -68,               -66,               -69,               -70,               -69,               -69,               -72,               -72,               -71,               -69,               -71,               -70,               -71,               -71,               -71,               -72,               -70,               -70,               -74,               -71,               -74,               -72,               -70,               -72,               -73,               -88,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -83,               -82,               -83,               -83,               -82,               -84,               -81,               -86,               -83,               -84,               -83,               -84,               -87,               -88,               -86,               NaN,               -87,               -88,               -82,               -81,               NaN,               -80,               -80,               -81,               NaN,               -80,               -90,               -88,               -81,               NaN,               NaN,               NaN
   4,     48,               -53,               -54,               -51,               -54,               -52,               -54,               -52,               -54,               -49,               -53,               -54,               -52,               -52,               -54,               -82,               -82,               -82,               -80,               -82,               -82,               NaN,               -81,               -65,               -67,               -65,               -67,               -65,               -68,               -70,               -69,               -69,               -73,               -72,               -64,               -69,               -73,               -77,               -76,               -76,               -74,               -75,               -76,               -76,               -74,               -71,               -75,               -76,               -76,               -72,               -74,               -88,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               -84,               -81,               -83,               -83,               -84,               -81,               -86,               -83,               -80,               -83,               -84,               -87,               -88,               -86,               NaN,               -87,               -88,               -81,               -81,               NaN,               -80,               -80,               -81,               NaN,               -80,               -90,               -88,               -81,               NaN,               NaN,               NaN
   4,     49,               -50,               -48,               -50,               -49,               -50,               -54,               -52,               -48,               -49,               -49,               -49,               -50,               -52,               -48,               -82,               -82,               -82,               -80,               -82,               -82,               NaN,               -81,               -74,               -73,               -68,               -68,               -68,               -74,               -73,               -69,               -69,               -69,               -68,               -74,               -69,               -73,               -67,               -72,               -68,               -71,               -69,               -76,               -68,               -74,               -71,               -72,               -76,               -68,               -72,               -74,               -88,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -75,               -75,               -76,               -76,               -74,               -76,               -76,               -86,               -83,               -80,               -86,               -84,               -87,               -88,               -86,               NaN,               -87,               -88,               -81,               -81,               NaN,               -80,               -80,               -81,               NaN,               -80,               -90,               -88,               -81,               NaN,               NaN,               NaN
   4,     50,               -49,               -48,               -47,               -49,               -47,               -54,               -47,               -48,               -49,               -51,               -51,               -46,               -52,               -51,               -82,               -82,               -82,               -80,               -82,               -82,               NaN,               -81,               -69,               -73,               -67,               -65,               -70,               -68,               -69,               -69,               -69,               -69,               -68,               -69,               -69,               -73,               -71,               -77,               -70,               -70,               -70,               -76,               -68,               -74,               -71,               -77,               -77,               -71,               -72,               -76,               -88,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -80,               NaN,               NaN,               NaN,               NaN,               NaN,               -75,               -75,               -75,               -74,               -74,               -77,               -76,               -86,               -83,               -80,               -86,               -84,               -87,               -88,               -86,               NaN,               -87,               -88,               -83,               -81,               NaN,               -80,               -80,               -81,               NaN,               -80,               -90,               -88,               -81,               NaN,               NaN,               NaN
